"id","modelo","preco_site","preco_original_site","categoria","selo","disponivel"
"inow-v20-mini","INOW V20 Mini","R$ 6.999,00","R$ 7.999,00","Compacta Urbana","Nova versão 2026","True"
"inow-v20-brake-pro","INOW V20 Brake Pro","R$ 8.999,00","R$ 10.499,00","Top de Vendas","Top Brasil 2025/26","True"
"inow-v30","INOW V30","R$ 11.999,00","R$ 13.999,00","Performance","Nova versão 2026 • Disponível em breve","False"
"inow-v30-elite","INOW V30 Elite","R$ 15.999,00","R$ 18.499,00","Performance Premium","Lançamento 2026 • Disponível em breve","False"
"inow-v35","INOW V35","R$ 13.999,00","R$ 15.999,00","Urbana Premium","Nova versão 2026","True"
"inow-v40-pro","INOW V40 Pro","R$ 12.499,00","R$ 13.999,00","Performance","Nova versão 2026","True"
"inow-x25","INOW X25","R$ 9.999,00","R$ 11.499,00","Lifestyle","Lançamento 2026","True"
"inow-x30","INOW X30","R$ 11.499,00","R$ 12.999,00","Lifestyle","Lançamento 2026","True"
"inow-x50-action-pro","INOW X50 Action Pro","R$ 12.499,00","R$ 14.499,00","Action","Sucesso de Vendas","True"
"inow-d50-cross","INOW D50 Cross","R$ 12.999,00","R$ 14.499,00","Cross Urbana","Lançamento 2026","True"
"inow-x100-elite","INOW X100 Elite","R$ 18.999,00","R$ 22.999,00","Exclusive Series","Lançamento 2026 • Topo de Linha","True"
